label,z_m,z_mm,x_m,x_mm,w_cfd,t_cfd,w_pinn,t_pinn,w_err,t_err
line-z-10,0.01,10.0,-0.0425,-42.5,0.0,800.0,4.142790794372559,891.8463134765625,4.142790794372559,91.8463134765625
line-z-10,0.01,10.0,-0.0423993,-42.399300000000004,2.59148,853.99,5.439423394618117,926.6031371380922,2.8479433946181176,72.61313713809216
line-z-10,0.01,10.0,-0.0422207,-42.2207,6.80359,947.646,7.73911140260077,988.2473149528795,0.9355214026007701,40.601314952879534
line-z-10,0.01,10.0,-0.0421047,-42.1047,7.63701,982.85,9.232749750450612,1028.2849668370632,1.595739750450612,45.43496683706314
line-z-10,0.01,10.0,-0.0418997,-41.899699999999996,9.12796,1047.48,10.459143589109402,1068.0162957749237,1.3311835891094024,20.5362957749237
line-z-10,0.01,10.0,-0.0417646,-41.7646,9.32443,1065.46,10.708007513876401,1081.9204629078517,1.3835775138764017,16.460462907851706
line-z-10,0.01,10.0,-0.0415306,-41.5306,9.69921,1100.08,11.055039940149731,1104.3787331112112,1.3558299401497305,4.298733111211277
line-z-10,0.01,10.0,-0.041371,-41.370999999999995,9.69864,1109.96,10.811744172040225,1110.4154417509174,1.1131041720402255,0.4554417509173163
line-z-10,0.01,10.0,-0.0411061,-41.1061,9.70792,1128.81,10.407928075723143,1120.4350164292266,0.7000080757231437,8.374983570773338
line-z-10,0.01,10.0,-0.0409136,-40.9136,9.56223,1135.51,10.013870696303485,1125.713265372242,0.45164069630348536,9.796734627758042
line-z-10,0.01,10.0,-0.0406173,-40.6173,9.36101,1147.41,9.386557880267008,1133.4241460707717,0.025547880267007272,13.98585392922837
line-z-10,0.01,10.0,-0.0398055,-39.8055,8.57172,1161.22,7.964082089424245,1151.8939956054674,0.6076379105757539,9.326004394532674
line-z-10,0.01,10.0,-0.0391971,-39.1971,7.73661,1164.53,7.235295047412246,1162.3510197610287,0.5013149525877534,2.178980238971235
line-z-10,0.01,10.0,-0.0391803,-39.1803,7.71371,1164.66,7.22183336998438,1162.5392183622469,0.49187663001561965,2.1207816377532254
line-z-10,0.01,10.0,-0.0387086,-38.708600000000004,7.36636,1167.81,6.874439668071983,1167.3194577550553,0.491920331928017,0.49054224494466325
line-z-10,0.01,10.0,-0.0385765,-38.5765,7.19682,1167.28,6.812749404290151,1167.9669738913144,0.3840705957098489,0.6869738913144374
line-z-10,0.01,10.0,-0.0378265,-37.826499999999996,6.5009,1163.4,6.540750370193949,1169.8443558995864,0.03985037019394966,6.444355899586299
line-z-10,0.01,10.0,-0.0375093,-37.5093,6.22826,1162.13,6.476960903336034,1169.2673569651886,0.2487009033360339,7.137356965188474
line-z-10,0.01,10.0,-0.035874,-35.874,5.62202,1160.31,6.171894293841216,1161.3813270909932,0.5498742938412162,1.0713270909932362
line-z-10,0.01,10.0,-0.0358142,-35.8142,5.5904,1160.12,6.157832031945641,1160.9674436236219,0.567432031945641,0.8474436236219844
line-z-10,0.01,10.0,-0.0356223,-35.6223,5.43248,1158.02,6.112705810243961,1159.6392791187964,0.6802258102439609,1.6192791187963849
line-z-10,0.01,10.0,-0.0355436,-35.543600000000005,5.366,1157.19,6.094199121093767,1159.0945863281254,0.728199121093767,1.9045863281253332
line-z-10,0.01,10.0,-0.0355259,-35.5259,5.36283,1157.06,6.090036879696582,1158.972082358686,0.727206879696582,1.9120823586861206
line-z-10,0.01,10.0,-0.0353224,-35.322399999999995,5.44204,1156.78,6.043163296912711,1157.4975464613974,0.6011232969127107,0.7175464613974327
line-z-10,0.01,10.0,-0.0351628,-35.162800000000004,5.50414,1156.56,6.007292523193371,1156.2810457031253,0.5031525231933713,0.27895429687464457
line-z-10,0.01,10.0,-0.0346128,-34.6128,5.65118,1154.22,5.899959836488616,1151.9262984375002,0.248779836488616,2.293701562499791
line-z-10,0.01,10.0,-0.0333435,-33.3435,5.99048,1148.82,5.877549913855148,1141.9595392061126,0.11293008614485167,6.860460793887341
line-z-10,0.01,10.0,-0.0332794,-33.2794,6.03567,1149.15,5.888216960099153,1141.52046819853,0.14745303990084668,7.629531801470193
